uri,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,duration_ms_y,liveness,tempo,time_signature,valence,album_release_date
spotify:track:3BqpakuX85Wtw8DI1yUr4q,31,0.492,0.601,8,-9.432,1,0.036,0.593,0.436,208658,0.107,147.914,4,0.444,2023-10-27
spotify:track:4XyTTV4598arHa8KRcgPPF,26,0.694,0.676,5,-6.631,1,0.035,0.495,1.58e-06,124120,0.356,96.085,4,0.666,2023-10-05
spotify:track:46OGrRCC0Y7ZyF0qvXsPNt,38,0.829,0.59,1,-9.05,1,0.314,0.063,0.0218,195918,0.0609,98.05,4,0.804,2023-09-22
spotify:track:78jEa8SkbDiQsBCPP144E0,0,0.562,0.765,3,-2.967,1,0.21,0.613,0.0,184640,0.0774,118.879,4,0.707,2022-10-14
spotify:track:6YJPjyFH82ZLHGV9FjrehW,10,0.754,0.721,9,-8.39,1,0.0336,0.236,0.13,218062,0.0791,137.004,4,0.879,2023-06-09
spotify:track:7cEspQkVV0sflWQpf61iwK,36,0.609,0.618,9,-6.74,1,0.0257,0.0774,0.0845,232642,0.0964,105.497,4,0.62,2023-07-28
spotify:track:4Dm5arLIv43WQci2vqJdAQ,24,0.623,0.752,4,-8.708,0,0.032,3.45e-05,0.337,250130,0.0764,154.013,4,0.793,2023-07-28
spotify:track:1uR0Cjdyzjm2OkAv1XrQrI,30,0.625,0.826,11,-6.216,0,0.0271,0.0207,0.126,244239,0.339,113.003,4,0.823,2023-07-04
spotify:track:0ZAuzWS5Yc8EcXSba0JzBh,28,0.609,0.782,7,-6.188,0,0.0345,0.344,1.69e-06,195121,0.368,154.054,4,0.55,2023-07-07
spotify:track:0SoJxJYfdLeHgvPTWYI3fs,19,0.533,0.712,6,-6.661,1,0.034,0.0161,0.475,241791,0.393,163.718,4,0.687,2023-02-28
spotify:track:1PhU0beKROIDBxxwf0B7lr,33,0.823,0.488,5,-10.133,0,0.0561,0.649,0.363,219637,0.167,100.012,4,0.935,2023-06-14
spotify:track:2MRpITeSKqHb3llmCDvl00,32,0.581,0.297,2,-13.224,1,0.0847,0.398,3.74e-05,170000,0.121,134.853,4,0.391,2023-04-28
spotify:track:61VEJVnp89KK4tBYBd2wwS,11,0.592,0.747,11,-5.828,1,0.0287,0.113,0.000322,231000,0.18,130.042,4,0.417,2023-04-04
spotify:track:3cLYE1gja2GWsoNCLgupXD,13,0.625,0.654,5,-7.004,1,0.0558,0.00924,0.393,207308,0.0904,81.999,4,0.763,2023-03-29
spotify:track:2Ry0YB7zRaPnMKt7USlSnx,34,0.655,0.728,8,-8.334,1,0.0588,0.254,0.0514,324907,0.447,94.983,4,0.688,2023-04-13
spotify:track:0cF3yG2Vh22tQUxMMKyfGU,10,0.62,0.564,1,-11.351,0,0.0607,0.017,0.0669,186875,0.144,81.943,4,0.596,2023-03-17
spotify:track:6Fq7XWeFlCrwDVdLEHqXMi,11,0.606,0.819,5,-6.268,1,0.0598,0.162,0.0222,201799,0.355,120.108,4,0.836,2023-03-02
spotify:track:4BAT0xxJnymne7WzeT0Upq,22,0.645,0.551,10,-6.778,0,0.0308,0.0485,0.021,207940,0.102,146.003,4,0.363,2023-02-07
